,cont_no,price,total,transaction_date,type,units_traded
0,28869620,255000,45186,2018-10-08 11:41:05,ask,0.1772
1,28869619,255000,36593,2018-10-08 11:39:15,ask,0.1435
2,28869618,255000,1020000,2018-10-08 11:37:43,ask,4.0
3,28869617,256000,1959987,2018-10-08 11:37:17,bid,7.6562
4,28869616,255000,67626,2018-10-08 11:36:33,ask,0.2652
5,28869615,255500,287284,2018-10-08 11:36:33,ask,1.1244
6,28869614,255500,701552,2018-10-08 11:36:32,ask,2.7458
7,28869613,255500,414344,2018-10-08 11:36:31,ask,1.6217
8,28869612,255500,587650,2018-10-08 11:36:22,ask,2.3
9,28869611,255500,508138,2018-10-08 11:36:21,ask,1.9888
10,28869610,255500,56031,2018-10-08 11:35:56,bid,0.2193
11,28869609,255500,26,2018-10-08 11:35:14,ask,0.0001
12,28869608,255500,56466,2018-10-08 11:35:05,ask,0.221
13,28869607,255500,464090,2018-10-08 11:34:58,ask,1.8164
14,28869606,255500,407855,2018-10-08 11:34:58,ask,1.5963
15,28869605,255500,360204,2018-10-08 11:34:54,ask,1.4098
16,28869604,255500,720408,2018-10-08 11:34:53,ask,2.8196
17,28869603,255500,444468,2018-10-08 11:34:51,ask,1.7396
18,28869602,255500,474975,2018-10-08 11:34:50,ask,1.859
19,28869601,255500,345002,2018-10-08 11:34:42,ask,1.3503
20,28869600,256000,555878,2018-10-08 11:34:41,bid,2.1714
21,28869599,255500,2279929,2018-10-08 11:34:40,ask,8.9234
22,28869598,255500,577353,2018-10-08 11:34:38,ask,2.2597
23,28869597,255500,577609,2018-10-08 11:34:38,ask,2.2607
24,28869596,255500,577353,2018-10-08 11:34:35,ask,2.2597
25,28869595,255500,1154528,2018-10-08 11:34:24,ask,4.5187
26,28869594,255500,1460387,2018-10-08 11:34:22,ask,5.7158
27,28869593,255500,564987,2018-10-08 11:34:21,ask,2.2113
28,28869592,255500,1130051,2018-10-08 11:34:20,ask,4.4229
29,28869591,255000,2048033,2018-10-08 11:33:39,ask,8.0315
30,28869590,255500,2172,2018-10-08 11:33:39,ask,0.0085
31,28869589,255500,301030,2018-10-08 11:33:09,ask,1.1782
32,28869588,255500,298935,2018-10-08 11:33:09,ask,1.17
33,28869587,255500,197961,2018-10-08 11:33:07,bid,0.7748
34,28869586,255500,1584,2018-10-08 11:32:33,bid,0.0062
35,28869585,255000,10071174,2018-10-08 11:32:24,ask,39.4948
36,28869584,256000,90394,2018-10-08 11:32:08,bid,0.3531
37,28869583,255000,50235,2018-10-08 11:31:41,ask,0.197
38,28869582,255000,201731,2018-10-08 11:31:23,ask,0.7911
39,28869581,256000,390000,2018-10-08 11:31:19,bid,1.5234375
40,28869580,256000,300006,2018-10-08 11:31:13,bid,1.1719
41,28869579,255000,45186,2018-10-08 11:31:05,ask,0.1772
42,28869578,255000,695436,2018-10-08 11:31:01,ask,2.7272
43,28869577,255000,360468,2018-10-08 11:30:49,ask,1.4136
44,28869576,256000,2048000,2018-10-08 11:30:24,bid,8.0
45,28869575,256000,4415868,2018-10-08 11:30:11,bid,17.24948594
46,28869574,256000,502404,2018-10-08 11:30:11,bid,1.96251406
47,28869573,256000,13056,2018-10-08 11:30:08,bid,0.051
48,28869572,255000,255000,2018-10-08 11:29:42,ask,1.0
49,28869571,255000,43197,2018-10-08 11:28:47,ask,0.1694
50,28869570,255000,10251,2018-10-08 11:28:18,ask,0.0402
51,28869569,255000,508343,2018-10-08 11:28:01,ask,1.9935
52,28869568,255000,101876,2018-10-08 11:27:00,ask,0.3995135
53,28869567,255500,22,2018-10-08 11:27:00,ask,0.0000865
54,28869566,256000,86784,2018-10-08 11:26:37,bid,0.339
55,28869565,255500,366336,2018-10-08 11:26:27,ask,1.4338
56,28869564,256000,979994,2018-10-08 11:26:02,bid,3.8281
57,28869563,255500,102251,2018-10-08 11:25:54,ask,0.4002
58,28869562,255500,448300,2018-10-08 11:25:51,ask,1.7546
59,28869561,255500,263829,2018-10-08 11:25:35,bid,1.0326
60,28869560,255500,12775,2018-10-08 11:25:35,bid,0.05
61,28869559,255500,365752,2018-10-08 11:25:35,bid,1.4315135
62,28869558,255500,511000,2018-10-08 11:25:15,bid,2.0
63,28869557,255000,501305,2018-10-08 11:24:22,ask,1.9659
64,28869556,255500,572802,2018-10-08 11:23:32,bid,2.2418865
65,28869555,255500,77198,2018-10-08 11:23:32,bid,0.30214305
66,28869554,255000,563423,2018-10-08 11:22:48,ask,2.2095
67,28869553,255500,256000,2018-10-08 11:22:46,bid,1.00195695
68,28869552,255500,1277500,2018-10-08 11:22:12,bid,5.0
69,28869551,255500,600502,2018-10-08 11:21:59,bid,2.3503
70,28869550,255500,230946,2018-10-08 11:21:25,bid,0.9039
71,28869549,255000,230954,2018-10-08 11:21:11,ask,0.9057
72,28869548,256000,430000,2018-10-08 11:20:57,bid,1.6796875
73,28869547,255500,230946,2018-10-08 11:20:51,ask,0.9039
74,28869546,255500,460,2018-10-08 11:20:38,bid,0.0018
75,28869545,255000,230954,2018-10-08 11:19:15,ask,0.9057
76,28869544,255500,231406,2018-10-08 11:18:51,bid,0.9057
77,28869543,255500,196531,2018-10-08 11:18:38,ask,0.7692
78,28869542,255500,511000,2018-10-08 11:18:37,ask,2.0
79,28869541,255500,26010,2018-10-08 11:18:37,ask,0.1018
80,28869540,255500,231866,2018-10-08 11:18:31,ask,0.9075
81,28869539,256000,2995,2018-10-08 11:18:05,bid,0.0117
82,28869538,255500,768442,2018-10-08 11:17:57,ask,3.0076
83,28869537,255500,113391,2018-10-08 11:17:42,ask,0.4438
84,28869536,255500,911522,2018-10-08 11:17:42,ask,3.5676
85,28869535,256000,232320,2018-10-08 11:17:26,bid,0.9075
86,28869534,256000,338038,2018-10-08 11:17:18,bid,1.32046094
87,28869533,256000,999987,2018-10-08 11:17:00,bid,3.9062
88,28869532,256000,24806,2018-10-08 11:16:05,bid,0.0969
89,28869531,255500,640871,2018-10-08 11:15:48,ask,2.5083
90,28869530,255500,29996,2018-10-08 11:15:12,ask,0.1174
91,28869529,255500,1916250,2018-10-08 11:13:56,ask,7.5
92,28869528,255500,138226,2018-10-08 11:12:34,ask,0.541
93,28869527,255500,163392,2018-10-08 11:12:22,ask,0.6395
94,28869526,255500,680729,2018-10-08 11:12:02,ask,2.6643
95,28869525,256000,1019862,2018-10-08 11:11:37,bid,3.9838375
96,28869524,256000,76800,2018-10-08 11:11:37,bid,0.3
97,28869523,256000,201258,2018-10-08 11:11:37,bid,0.7861625
98,28869522,255500,45198,2018-10-08 11:11:04,ask,0.1769
99,28869521,255500,608575,2018-10-08 11:10:27,ask,2.3819
